,Country Name,Region,Happiness Score,Year,Income Group,Lending Category,EG.ELC.ACCS.ZS,SE.PRM.TENR,NY.ADJ.NNTY.KD.ZG,NY.ADJ.NNTY.PC.KD.ZG,NY.ADJ.AEDU.GN.ZS,NY.ADJ.ICTR.GN.ZS,SP.POP.DPND,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,GC.XPN.TOTL.GD.ZS,SH.XPD.EHEX.CH.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDS.TOTL.ZS,SE.ADT.1524.LT.ZS,NV.IND.MANF.KD.ZG,SH.DYN.NMRT,SH.DYN.MORT,SP.POP.TOTL,SE.SEC.ENRL.TC.ZS,SE.PRM.ENRL.TC.ZS,EG.FEC.RNEW.ZS,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,NE.TRD.GNFS.ZS,SL.UEM.TOTL.NE.ZS,FP.WPI.TOTL
0,Afghanistan,Sub-Saharan Africa,3.575,2015,Low income,Blend,71.5,91.7047794736842,0.8588914504827585,,2.643741893,-10.28844725,88.76872734,33.98,6.9239999999999995,56.69549,24.3563,37.02256957,16.44546401,19907111419.0,1.451314655,2.9481803639999997,,0.409391083,41.5,73.1,33736494,37.72088,44.32877,18.42347717,652860.0,7.585382331,55.12552660000001,9.291429614032895,
1,Afghanistan,Sub-Saharan Africa,3.36,2016,Low income,Blend,84.13713837,91.7047794736842,0.8588914504827585,,2.643741893,-10.87939183,86.57093215,33.214,6.747000000000001,43.30205,21.83389,,,19046357714.0,2.260314205,4.9540331360000005,,1.087939531,40.3,70.4,34656032,42.68464,,,652860.0,,47.65905543,9.291429614032895,
2,Afghanistan,Sub-Saharan Africa,3.79399991,2017,Low income,Blend,77.818569185,91.7047794736842,0.8588914504827585,,,,84.58727797,,,44.1906,22.25369,,,19543976895.0,2.665292046,7.155705365,,0.748720445,39.2,67.9,35530081,38.667559999999995,44.00995,,652860.0,,51.236880799999994,9.291429614032895,
3,Albania,South Asia,4.959,2015,Low income,IDA,100.0,95.59661,4.618468025,4.923567075,3.227285022,15.80204856,44.01664386,11.879000000000001,7.2170000000000005,56.76693,21.58166,24.44617575,0.76512774,11386931490.0,2.22,8.194549702,,5.0,5.9,9.4,2880703,13.505889999999999,18.61557,38.61521047,28750.0,18.51578986,71.8010161,17.07999992,
4,Albania,South Asia,4.655,2016,Low income,IDA,100.0,95.65855,3.1966105610000004,3.3617336910000004,3.227285022,16.6463675,44.0015401,11.815999999999999,7.379,,25.36938,23.91171468,,11883682171.0,3.35,7.4550703579999995,,4.3,6.0,9.1,2876101,12.22137,18.198439999999998,,28750.0,17.55717773,74.66925967,15.41499996,
5,Albania,South Asia,4.644000053,2017,Low income,IDA,100.0,97.06175,1.056776612714286,,,,44.05950571,,,60.21674,18.62398,23.83315131,,13038538300.0,3.835543845,8.594127322,,13.45527986,6.1,8.8,2873457,11.60265,17.944779999999994,,28750.0,18.86023507,78.08145608,13.75,
6,Algeria,Europe & Central Asia,5.605,2015,Upper middle income,IBRD,99.33670807,99.2671,-2.7604417010000004,-4.609593098,4.4671956,36.80385887,52.72491876,23.9,4.773,,,,0.02604974,165979000000.0,3.763466958,37.42896788,,1.8428849569999999,15.5,24.9,39871528,16.480982615384615,23.836129999999997,0.058958684000000004,2381740.0,,59.69512912,11.20610046,
7,Algeria,Europe & Central Asia,6.355,2016,Upper middle income,IBRD,99.43956757,99.23121,-4.1339819360000005,-5.868104993999999,4.4671956,35.52823676,53.90788743,23.131999999999998,4.765,,,,,160130000000.0,3.3,36.63434561,,6.027191472,15.2,24.5,40606052,16.480982615384615,24.2355,,2381740.0,,55.89224352,10.20240021,
8,Algeria,Europe & Central Asia,5.872000217,2017,Upper middle income,IBRD,99.38813782,99.44293,3.15166573952,,,,55.02821663,,,,,,,167555000000.0,1.600000001,37.53614081,,0.06523005700000001,14.9,24.0,41318142,16.480982615384615,24.22505,,2381740.0,,56.14035208,13.56999969,
9,Angola,Middle East & North Africa,4.033,2015,Upper middle income,IBRD,42.0,89.8441734042553,10.48488344,6.761620511,3.57,-0.45139147799999996,97.57619869,42.32100000000001,8.683,,,20.81883184,2.7696619,116194000000.0,0.9435756129999999,30.82316733,,12.02433653,30.6,88.9,27859305,16.480982615384615,50.029509999999995,49.56821033,1246700.0,11.00201914,62.88852078,6.546154871280488,
